# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE164640|other_methylation|Homo sapiens|187|GSE164640_RAW.tar(16.2GB)|cancer,epigenetics|Transcriptome profiling of the normal breast of women at either high- or average risk for breast cancer [methyl-capture]|Epigenetic DNA methylation important regulators gene expression frequently dysregulated early carcinogenesis relationship aberrations tissue Disease-free cores donated high-risk Tyrer-Cuzick lifetime|
GSE136783|wgbs|Solanum virginianum|8|GSE136783_RAW.tar(13.0GB)|epigenetics,hematopoiesis,plant_biology,signal_transduction|Epigenetic bases of grafting-induced vigour in eggplant [Bisulfite-Seq]|horticulture popular technique combine positive features two different plants obtained joining scion generally part ground onto rootstock constituted stem roots Despite wide-use biological driving|
GSE158943|methylation_array|Rattus norvegicus|16|GSE158943_RAW.tar(66MB)|immunology,cardiovascular,infectious_disease,rna_biology|Genome-wide identification of altered m6A-related transcript profiles for vascular tissue in septic rats|Sepsis leading cause death hospital intensive care units Recent N6-methyladenosine modification promotes inflammatory response evaluated effect lipopolysaccharide LPS aortic modifications mRNAs|
GSE169362|wgbs|Apis mellifera|13|GSE169362_dmrs_curcumin_w_fdr.csv.gz(565KB), GSE169362_dmrs_ethanol_w_fdr.csv.gz(531KB)|epigenetics,aging|Screening bioactive food compounds in honey bees suggests curcumin blocks alcohol-induced damage to longevity and DNA methylation|Various confer health benefits possibly altering preserving human epigenome While widely marketed improving counteracting harmful effects poor nutrition lifestyle claimed often adequately documented|
GSE184636|other_methylation|Mus musculus|19|GSE184636_RAW.tar(383MB)|development,epigenetics,aging,reproduction|Reprogramming of ovarian aging epigenome by resveratrol [methylation]|Depletion oocytes follicles reduced oocyte quality contribute age-associated senescence infertility Telomere shortening altered make two major contributions general acts anti-oxidant Sirt1 activator|
GSE179178|other_methylation|Mus musculus|8|GSE179178_Muscle_con1_IPVSMuscle_con1_input_peaks.bed.gz(178KB), GSE179178_Muscle_con2_IPVSMuscle_con2_input_peaks.bed.gz(198KB), GSE179178_Muscle_den1_IPVSMuscle_den1_input_peaks.bed.gz(190KB), GSE179178_Muscle_den2_IPVSMuscle_den2_input_peaks.bed.gz(183KB), GSE179178_RAW.tar(496MB)|skeletal_muscle,rna_biology|m6A MeRIP-seq of skeletal muscle during innervation and denervation|assess methylome denervation-induced atrophy methylated RNA immunoprecipitation sequencing|
GSE159025|medip_seq|Mus musculus|4|GSE159025_RAW.tar(56MB)|development,metabolism,epigenetics,signal_transduction|Neurofibromin (Nf1) controls metabolic balance and Notch-dependent quiescence of murine juvenile myogenic progenitors [MeDIP-Seq]|conclude epigenetic alterations Nf1Myf5 MPs line shift towards quiescent state contribute impaired differentiation hypermethylation transcriptional downregulation genes points changes cellular energy|
GSE175607|rrbs|Mus musculus|2|GSE175607_WT_vs_KO.CG.TDMR.xlsx(35KB)|metabolism,epigenetics,gene_regulation|Whole genome DNA methylation analysis with reduced representation bisulfite sequencing (RRBS) to identify Myod1 promoter methylation in brown adipose tissues of D1KO and their respective wild type control mice|profiling indicated rate proximate region gene decreased|
GSE179527|wgbs|Sus scrofa|9|GSE179527_WGBS_PFF.bw(126MB), GSE179527_WGBS_SCNT_4c.bw(41MB), GSE179527_WGBS_SCNT_4c_TDG.bw(55MB)|development,epigenetics,reproduction,plant_biology|Resolving multiple epigenetic barriers to pig SCNT-mediated reprogramming during embryonic genome activation [BiSulfite-seq]|cloning somatic cell nuclear transfer frequently undergoes incomplete remodeling maternal-to-zygotic transition leads loss implantation generated first genome-wide landscapes histone methylation|
GSE178416|methylation_array|Homo sapiens|115|GSE178416_RAW.tar(1.8GB)|cancer,epigenetics,skin,eye_vision|Mucosal melanomas of different anatomic sites share a common DNA methylation profile but show different patterns of genetic and epigenetic alterations|Cutaneous ocular histologically indistinguishable tumors driven spectrum current methods identification origin metastasis challenging particular first tumor manifestation Genome wide profiling|
GSE178128|wgbs|Homo sapiens|66|GSE178128_RAW.tar(21.2GB)|epigenetics|Identification of DNA Methylation Predicts Onset of PTSD and Depression Following Trauma|hyper hypo-methylated cytosine sites genes genome-wide bisulfite sequencing comparison control group Major Depressive Disorder MDD|
GSE158011|other_methylation|Homo sapiens|46|GSE158011_RAW.tar(1.4GB)|epigenetics|DNA methylation maintains integrity of higher order genome architecture|SuperSeries composed SubSeries listed|
GSE158010|wgbs|Homo sapiens|4|GSE158010_RAW.tar(477MB)|cancer,development,epigenetics,cell_stress,cell_cycle|DNA methylation maintains integrity of higher order genome architecture (WGBS)|replication timing chromatin organisation epigenomic changes across large domains human differentiation cancer progression epigenome particular cancer-associated hypomethylation consequence cause|
GSE173688|other_methylation|Homo sapiens|1|GSE173688_RAW.tar(2.0GB)||Nanopore sequencing of K562 for DNA cytosine modification detection|human cell line Oxford GridION version chemistry|
GSE169598|methylation_array|Homo sapiens|96|GSE169598_RAW.tar(1.5GB)|epigenetics,reproduction|DNA methylation analysis of placenta samples exposed to maternal smoking during pregnancy|Epigenome-wide profiling placental DNAm obtained smokers enrolled VCSIP RCT NCT03203603 supplemented placebo vitamin never-smokers reference|
GSE167202|methylation_array|Homo sapiens|525|GSE167202_ProcessedBetaDetectionPValues.txt.gz(3.3GB), GSE167202_ProcessedBetaValues.txt.gz(1.8GB), GSE167202_RAW.tar(7.4GB)|immunology,epigenetics,infectious_disease,lung_respiratory|Host methylation predicts SARS-CoV-2 infection and clinical outcome|Genome-wide DNA profiling peripheral blood 164 positive 296 negative other respiratory patient samples profiled custom Illumina Infinium HumanMethylation BeadChip array MethylationEPIC-B4 probes|
GSE184267|rrbs|Mus musculus|38|GSE184267_RAW.tar(588MB)|neuroscience,epigenetics,aging,cell_stress,gene_regulation,signal_transduction|Examining age-dependent DNA methylation patterns and gene expression in the male and female mouse hippocampus|reduced representation bisulfite sequencing RRBS dorsal necessary formation consolidation specific types memories young aging mice sexes determine changes across genomic contexts Overall findings|
GSE184206|methylation_array|Homo sapiens|16|GSE184206_RAW.tar(226MB)|cancer,epigenetics,infectious_disease,signal_transduction|Viral Status Predicts Patterns of Genome Methylation and Decitabine Response in Merkel Cell Carcinoma [Methylation]|understand global MCC lines|
GSE174711|wgbs|Homo sapiens|4|GSE174711_WGBS_20x_editted.csv.gz(183MB)|cancer,development,epigenetics,cell_stress|Dynamic patterns of DNA methylation in the normal prostate epithelial differentiation program are targets of aberrant methylation in prostate cancer [BiSulfite-seq]|Understanding epigenetic control programs yield principal information critical regulatory states disturbed utilized established non-malignant HPr1-AR cell model androgen exposure commits luminal|
GSE174662|wgbs|Homo sapiens|4|GSE174662_MethylCaptureData_ALL.csv.gz(71MB)|cancer,development,epigenetics,cell_stress|Dynamic patterns of DNA methylation in the normal prostate epithelial differentiation program are targets of aberrant methylation in prostate cancer [Methyl Capture]|Understanding epigenetic control programs yield principal information critical regulatory states disturbed utilized established non-malignant HPr1-AR cell model androgen exposure commits luminal|
GSE160884|wgbs|Oryza sativa|8|GSE160884_0N0N82_0NHN82_dmr_zone.bed.gz(158KB), GSE160884_0N0N82_0NHN82_gene_intersect_dmr.bed.gz(92KB), GSE160884_0N0NWT_0NHNWT_dmr_zone.bed.gz(210KB), GSE160884_0N0NWT_0NHNWT_gene_intersect_dmr.bed.gz(127KB), GSE160884_HN0N82_HNHN82_dmr_zone.bed.gz(204KB), GSE160884_HN0N82_HNHN82_gene_intersect_dmr.bed.gz(122KB), GSE160884_HN0NWT_HNHNWT_dmr_zone.bed.gz(229KB), GSE160884_HN0NWT_HNHNWT_gene_intersect_dmr.bed.gz(124KB)|epigenetics,plant_biology|Plant DNA methylation sensitive to parent seed N content and mediated the influence of external nitrogen on OsNAR2.1 overexpression rice growth|important epigenomes regulated environment stress resource limiting factor productivity natural agricultural systems use Whole Genome Bisulfite Sequencing WGBS genome-wide|
GSE166255|rrbs|Homo sapiens|57|GSE166255_Final_data.xlsx(362KB), GSE166255_RAW.tar(1.2GB)||RRBS-based blood methylome in chronic nociceptive (NOCI) and neuropathic (NEURO) pain suffering patients and controls (CTL).|implies activation nociceptors without damage somatosensory nervous system injury disease central peripheral Epigenomic participate conditions transition acute purpose present analyze differs|
GSE182914|rrbs|Homo sapiens|6|GSE182914_RAW.tar(263MB)|cancer,development,epigenetics,kidney,cell_stress|The long noncoding RNA H19 regulates tumor plasticity in neuroendocrine prostate cancer|report effect knockdown genome wide methylation Enhanced Reduced Representation Bisulfite Sequencing eRBBS detect quantitative base pair changes Differential done NEPC derived organoid expressing|
GSE137364|rrbs|Homo sapiens|57|GSE137364_5xCoverage_Methylation.hg19.tsv.gz(155MB)|neuroscience,epigenetics|Cocaine-related DNA methylation in neurons in the caudate nucleus alters the three dimensional structure of the IRXA gene cluster|investigates differences chronic cociane dependence post-mortem dorsolateral tissue samples human brain generated reduced representation bisulfite sequencing RRBS psychiatrically healthy controls|
GSE154803|wgbs|Mus musculus|7|GSE154803_WGBS_BL_DMR.xlsx(409KB)|immunology,development,epigenetics,fibrosis_wound,lung_respiratory,microbiology,cell_stress,signal_transduction|Epigenetic reprogramming of airway macrophages drives polarization and inflammation in muco-obstructive lung disease (WGBS_BL)|diseases cystic fibrosis COPD characterized mucus obstruction chronic mechanistic link poorly understood focused mucostatic microenvironment resulting transcriptomic phenotypical changes mouse model|
GSE150929|other_methylation|Zea mays|6|GSE150929_maize_B73_leaf_100bp_tile_counts_CG.txt.gz(203MB), GSE150929_maize_B73_leaf_100bp_tile_counts_CHG.txt.gz(216MB), GSE150929_maize_B73_leaf_100bp_tile_counts_CHH.txt.gz(285MB), GSE150929_RAW.tar(3.6GB)|development,epigenetics,plant_biology,gene_regulation|Stable unmethylated DNA demarcates expressed genes and their cis-regulatory space in plant genomes|genomic sequences diverse varieties many crop species continue produced frenetic challenging develop complete annotations functional elements explore potential use methylation profiles more refined|
GSE140658|wgbs|Homo sapiens|6|GSE140658_RAW.tar(2.0GB)|neuroscience,epigenetics,drug_response|Differential DNA methylation profiles of HS ILAE type 1 in human temporal lobe epilepsy|Purpose new perspectives molecular diagnosis subtypes therapeutic targets TLE patients Methods detected Whole Genome Bisulfite Sequencing WGBS distribution differentially methylated regions DMRs|
GSE165575|other_methylation|Arabidopsis thaliana|111|GSE165575_RAW.tar(560MB)|epigenetics|An siRNA-guided AGO protein recruits Polymerase V to initiate RNA-directed DNA methylation|SuperSeries composed SubSeries listed|
GSE165573|other_methylation|Arabidopsis thaliana|66|GSE165573_RAW.tar(150KB)|cancer,epigenetics,plant_biology,rna_biology,gene_regulation|An siRNA-guided AGO protein recruits Polymerase V to initiate RNA-directed DNA methylation (BSA-seq dataset)|Foreign silenced plants small RdDM key required methyltransferases target region initial recruitment targeted locus mystery first generation transgene transformations elucidate novel recruited new|
GSE157273|methylation_array|Homo sapiens|48|GSE157273_Matrix_processed.txt.gz(260MB), GSE157273_Matrix_signal_intensities.txt.gz(177MB), GSE157273_RAW.tar(822MB)|cancer,drug_response,cell_stress|Longitudinal analysis of personal cfDNA methylome patterns in metastatic prostate cancer [plasma]|Disease progression therapeutic resistance hallmarks advanced stage PCa major cause cancer-related mortality around world coupled use liquid biopsies offer potentially new minimally invasive platform|
GSE157272|methylation_array|Homo sapiens|48|GSE157272_IDAT_file_annotation.csv.gz(811B), GSE157272_Matrix_processed.txt.gz(133MB), GSE157272_Matrix_signal_intensities.txt.gz(115MB), GSE157272_RAW.tar(567MB)|cancer,neuroscience,epigenetics,cell_stress|DNA methylation profiling across six histological states of prostate cancer|spite prevalence one world leading malignancies PCa continues evade molecular taxonomic sub-classification gross clinical differences within umbrella term adenocarcinoma majority tumors appear|
GSE119829|other_methylation|Mus musculus|10|GSE119829_RAW.tar(11.4GB)|development,epigenetics|True 5-methylcytosine profiling of late reprogramming stages during in vitro reprogramming of mouse embryonic fibroblasts (MEFs) to induced pluripotent stem cells (iPSCs)|generation involves activation endogenous pluripotency circuitry global DNA demethylation temporal resolution events insufficient existing markers generated murine transgenic lines harboring dual|
GSE84316|rrbs|Mus musculus|2|GSE84316_sff-VS-sup.RRBS.DMR.txt.gz(27KB)|epigenetics,cell_stress,gene_regulation|Gestational choline supplementation improves cross-generational mood by epigenetic upregulation of Nr3c1 [RRBS]|Environmental cues exert transgenerational effects behavior mainly changes marks DNA methylation histone modifications inheritance acquired phenotypes largely unknown mammals report GCS maternal mice|
GSE182968|other_methylation|Homo sapiens|12|GSE182968_RAW.tar(1.7GB)|immunology,development,epigenetics,infectious_disease,signal_transduction|Proinflammatory cytokines promote TET2-mediated DNA demethylation during CD8 T cell effector differentiation|memory endows cells ability rapidly induce pathogen re-encounter While established substantial epigenetic remodeling occurs stage immune response signaling events imprint stable programs well-defined|
GSE157224|other_methylation|Geobacter sulfurreducens|3|GSE157224_RAW.tar(21MB)|metabolism,lung_respiratory,rna_biology|Methylomes of Geobacter sulfurreducens Grown on Different Terminal Electron Acceptors|species evolved respiratory versatility utilize wide range explore adaptive III citrate hydrous ferric oxide fumarate selected metabolome PCA via third-generation single-molecule real-time DNA|
GSE145614|methylation_array|Homo sapiens|9|GSE145614_intensities.csv.gz(71MB), GSE145614_RAW.tar(256MB)|neuroscience,development,metabolism,epigenetics|DNA methylation of neural differentiation from human adipose derived stem cells|three protocols neural-like hASC|
GSE174568|methylation_array|Homo sapiens; Mus musculus; Rattus norvegicus|28|GSE174568_Explanation_of_characteristic_variables.txt.gz(496B), GSE174568_RAW.tar(367MB)|epigenetics|Calibration data EPIC array: Mouse and Rat|Illumina Infinium HumanMethylation850 BeadChip GPL23976 generate DNA methylation synthetic species samples enzymatically manipulated exhibit 100 percent CpG location variable ProportionMethylated|
GSE174567|methylation_array|Mus musculus; Rattus norvegicus; Homo sapiens|45|GSE174567_Explanation_of_characteristic_variables.txt.gz(496B), GSE174567_RAW.tar(34MB)|epigenetics|Calibration data mammalian array: Human, Mouse, Rat|Infinium microarray platform GPL28271 HorvathMammalMethylChip40 generate DNA methylation synthetic species samples enzymatically manipulated exhibit 100 percent CpG location variable|
GSE164582|wgbs|Vitis vinifera|2|GSE164582_Genes_mfg.txt.gz(2KB), GSE164582_TEsInGenes_CG_filtered.tab.gz(324KB), GSE164582_TEsInGenes_CHG_filtered.tab.gz(372KB), GSE164582_TEsInGenes_CHH_filtered.tab.gz(545KB), GSE164582_TEs_mfg.txt.gz(2KB), GSE164582_TEsNotInGenes_CG_filtered.tab.gz(1MB), GSE164582_TEsNotInGenes_CHG_filtered.tab.gz(1MB), GSE164582_TEsNotInGenes_CHH_filtered.tab.gz(2MB)|development,epigenetics,fibrosis_wound,plant_biology|Vitis vinifera embryogenic callus epigenomics (WGBS data)|Plants regenerated tissue culture frequently somaclonal variation transcriptomic epigenetic state grapevine leaves mature particular focussed expression transposable elements changes siRNA abundance|
GSE149438|wgbs|Homo sapiens|300|GSE149438_RAW.tar(5.7GB)|cancer,development,epigenetics,gut_intestine|EpiPanGI Dx: A cell-free DNA methylation fingerprint for the early detection of gastrointestinal cancers|Owing high cancer-specificity alterations emerged front-runners cf-DNA biomarker development much effort date focused single explored possibility developing pan-cancer diagnostic assay undertook|
GSE182889|rrbs|Mus musculus|20|GSE182889_RAW.tar(798MB)|immunology,epigenetics,infectious_disease,plant_biology,microbiology|Intergenerational inheritance of trained immunity and heterologous resistance to infections (RRBS - DNA methylation)|Inter-I phenotypic characteristics demonstrated plants invertebrates epigenetic modifications playing variety features appearance1 adaptation stress evidence transcriptional signatures progeny mice|
GSE182585|rrbs|Homo sapiens|58|GSE182585_5xCoverage_Methylation.hg19.tsv.gz(154MB), GSE182585_columnheader_5xCoverage_Methylation.tsv.gz(321B)|neuroscience,epigenetics,cell_stress|DNA methylation of a novel regulatory element within the tyrosine hydroxylase gene (TH) is dysregulated by chronic cocaine dependence in the human striatum|investigates differences cociane post-mortem nucleus accumbens tissue samples brain generated reduced representation bisulfite sequencing RRBS psychiatrically healthy controls|
GSE142502|other_methylation|Mus musculus|6|GSE142502_C_vs_F_dmr_relatedGene.txt.gz(14KB)|neuroscience,development,metabolism,epigenetics,reproduction|Epigenetic reprogramming of sperm in F1 adult male mice with intrauterine hyperglycemia exposure|Birth cohort experimental investigations animals link gestational diabetes mellitus GDM impaired cognitive performance first filial generation resulted behavior abnormality cognitional functional|
GSE167038|other_methylation|Rattus norvegicus|31|GSE167038_AGEDCONTROL-CG-mat.csv.gz(35MB), GSE167038_AGEDCONTROL-CHG-mat.csv.gz(78MB), GSE167038_AGEDCONTROL-CHH-mat.csv.gz(231MB), GSE167038_AGEDTREATED-CG-mat.csv.gz(36MB), GSE167038_AGEDTREATED-CHG-mat.csv.gz(77MB), GSE167038_AGEDTREATED-CHH-mat.csv.gz(202MB), GSE167038_MIDDLECONTROL-CG-mat.csv.gz(22MB), GSE167038_MIDDLECONTROL-CHG-mat.csv.gz(48MB), GSE167038_MIDDLECONTROL-CHH-mat.csv.gz(126MB), GSE167038_MIDDLETREATED-CG-mat.csv.gz(26MB), GSE167038_MIDDLETREATED-CHG-mat.csv.gz(57MB), GSE167038_MIDDLETREATED-CHH-mat.csv.gz(166MB), GSE167038_YOUNGCONTROL-CG-mat.csv.gz(27MB), GSE167038_YOUNGCONTROL-CHG-mat.csv.gz(59MB), GSE167038_YOUNGCONTROL-CHH-mat.csv.gz(159MB), GSE167038_YOUNGTREATED-CG-mat.csv.gz(14MB), GSE167038_YOUNGTREATED-CHG-mat.csv.gz(33MB), GSE167038_YOUNGTREATED-CHH-mat.csv.gz(92MB)|neuroscience,epigenetics,aging,signal_transduction|Examination of CA1 hippocampal DNA methylation as a mechanism for closing of estrogen’s critical window|presents several novel findings relate idea alterations occurs aging linked senescent physiology decline circulating addition evidence provided contributes effects synaptic|
GSE179414|methylation_array|Homo sapiens|157|GSE179414_Matrix_processed.csv.gz(452MB), GSE179414_Matrix_signal_intensities.csv.gz(511MB), GSE179414_RAW.tar(161MB), GSE179414_UT_Matrix_processed.csv.gz(170MB), GSE179414_UT_Matrix_signal_intensities.csv.gz(330MB)|cancer,immunology,epigenetics|Epigenetic profiling and response to CD19 chimeric antigen receptor (CAR) T-cell therapy in B-cell malignancies|T-cells directed against CART19 effective relapsed/refractory R/R patients treatment efficacy little molecular factors predicting clinical outcome objective determine effect changes cells course|
GSE182519|rrbs|Mus musculus|4|GSE182519_RAW.tar(202MB)|immunology,development,epigenetics,infectious_disease|mRRBS analysis of C1qbp sufficient and deficient CD8+ T cells sorted from mice post infection with LCMV Armstrong|aimed explore deficiency affects DNA methylation status differentiation stage Transferred P14 spleen donor day post-infection collected Genomic isolated provided evidence changes|
GSE182425|medip_seq|Homo sapiens|32|GSE182425_mCRF.A2780.treat1.mock.sorted_methylCRF.bed.gz(258MB), GSE182425_mCRF.A2780.treat2.ITF.sorted_methylCRF.bed.gz(258MB), GSE182425_mCRF.A2780.treat3.AZA.sorted_methylCRF.bed.gz(260MB), GSE182425_mCRF.A2780.treat4.AZA.ITF.sorted_methylCRF.bed.gz(260MB), GSE182425_mCRF.Hey.treat1.mock.sorted_methylCRF.bed.gz(258MB), GSE182425_mCRF.Hey.treat2.ITF.sorted_methylCRF.bed.gz(258MB), GSE182425_mCRF.Hey.treat3.AZA.sorted_methylCRF.bed.gz(260MB), GSE182425_mCRF.Hey.treat4.AZA.ITF.sorted_methylCRF.bed.gz(260MB), GSE182425_mCRF.Kuramochi.treat1.mock.sorted_methylCRF.bed.gz(258MB), GSE182425_mCRF.Kuramochi.treat2.ITF.sorted_methylCRF.bed.gz(258MB), GSE182425_mCRF.Kuramochi.treat3.AZA.sorted_methylCRF.bed.gz(259MB), GSE182425_mCRF.Kuramochi.treat4.AZA.ITF.sorted_methylCRF.bed.gz(259MB), GSE182425_mCRF.TykNu.treat1.mock.sorted_methylCRF.bed.gz(258MB), GSE182425_mCRF.TykNu.treat2.ITF.sorted_methylCRF.bed.gz(258MB), GSE182425_mCRF.TykNu.treat3.AZA.sorted_methylCRF.bed.gz(260MB), GSE182425_mCRF.TykNu.treat4.AZA.ITF.sorted_methylCRF.bed.gz(260MB), GSE182425_MnM.sigDMR.A2780.treat2.ITF.bed.gz(10KB), GSE182425_MnM.sigDMR.A2780.treat3.AZA.bed.gz(2MB), GSE182425_MnM.sigDMR.A2780.treat4.AZA.ITF.bed.gz(1MB), GSE182425_MnM.sigDMR.Hey.treat2.ITF.bed.gz(2KB), GSE182425_MnM.sigDMR.Hey.treat3.AZA.bed.gz(2MB), GSE182425_MnM.sigDMR.Hey.treat4.AZA.ITF.bed.gz(1MB), GSE182425_MnM.sigDMR.Kuramochi.treat2.ITF.bed.gz(3KB), GSE182425_MnM.sigDMR.Kuramochi.treat3.AZA.bed.gz(291KB), GSE182425_MnM.sigDMR.Kuramochi.treat4.AZA.ITF.bed.gz(305KB), GSE182425_MnM.sigDMR.TykNu.treat2.ITF.bed.gz(1KB), GSE182425_MnM.sigDMR.TykNu.treat3.AZA.bed.gz(866KB), GSE182425_MnM.sigDMR.TykNu.treat4.AZA.ITF.bed.gz(947KB)|cancer,immunology,epigenetics,reproduction,drug_response,signal_transduction|Epigenetic therapies in ovarian cancer alter repetitive element expression in a TP53-dependent manner: MeDIPseq and MREseq|Abstract Epithelial carcinomas particularly deadly due intratumoral heterogeneity resistance standard-of-care poor response alternative treatments immunotherapy Targeting epigenome DNA|
GSE169535|wgbs|Mus musculus|4|GSE169535_RAW.tar(345MB)|immunology,development,epigenetics|A cis-acting mechanism mediates trancriptional memory at Polycomb target genes in mammals [WGBS]|Epigenetic inheritance expression states enables single genome maintain distinct cellular identities histone modifications contribute process global chromatin perturbations local time-controlled|
GSE128007|other_methylation|Homo sapiens|14|GSE128007_RAW.tar(147MB)|immunology,microbiology,gene_regulation|Integrative Proteome, Transcriptome and DNA Methylome Analysis of Regulatory Networks During U937-derived Macrophage Polarization from an M2 to M1 Phenotype|SuperSeries composed SubSeries listed|
GSE181760|other_methylation|Mus musculus|2|GSE181760_RAW.tar(1.3GB)|metabolism,epigenetics,reproduction,cell_stress,liver|DNA Methylation Status in Mouse Liver Affected by Maternal High-fat, High-sucrose diet|report pregnancy affects metabolic disorders offspring via hypermethylation hypomethylation|
GSE154915|methylation_array|Homo sapiens|470|GSE154915_RAW.tar(6.7GB)|epigenetics,hematopoiesis,cell_stress|Epigenome analysis of cord blood DNA from infants born into the SWS study|wide methylation profiling umbilical samples Illumina Infinium MethylationEPIC array obtain profiles across approximately 850 000 CpGs included 470 women Southampton Survery cohort examine|
GSE153473|other_methylation|Homo sapiens|27|GSE153473_RMS_18S_28S_BJ_hTERT.xlsx(897KB), GSE153473_RMS_18S_28S_BJ_MYC_120h_plus.xlsx(895KB), GSE153473_RMS_18S_28S_BJ_MYC_72h_plus.xlsx(899KB), GSE153473_RMS_18S_28S_BJ_MYC_minus.xlsx(898KB), GSE153473_RMS_18S_28S_DLD1.xlsx(913KB), GSE153473_RMS_18S_28S_HCT116_p53minus.xlsx(891KB), GSE153473_RMS_18S_28S_HelaS345CKO_GFP_plus45COE.xlsx(897KB), GSE153473_RMS_18S_28S_HelaS345CKO_GFP.xlsx(904KB), GSE153473_RMS_18S_28S_HelaS345CKO.xlsx(889KB)|epigenetics,rna_biology,cell_cycle,signal_transduction|Regulation of translation by site-specific ribosomal RNA methylation [RiboMeth-Seq]|report O-methylation levels subset positions human variable cell types conditions degree distinct sites responsive key cellular pathways MYC overexpression increased particular rRNA 18S C174|
GSE118483|wgbs|Arabidopsis thaliana|48|GSE118483_processed_data_file.tar.gz(2.8GB)|epigenetics,infectious_disease,plant_biology,cell_stress|Characterizing Epigenetic Changes in Methylation Mutants (elp2-5 and met1-7) in Response to Spaceflight. [Bisulfite-Seq]|DNA methylome increasingly play integral regulating expression necessary plants adaption environmental stressors subjected novel environment onboard International Station ISS stress-related|
GSE156359|methylation_array|Homo sapiens|22|GSE156359_HCFIS-15_mIN_raw.txt.gz(89MB), GSE156359_RAW.tar(161MB)|immunology,epigenetics,kidney,hematopoiesis,plant_biology,microbiology,signal_transduction|Defining a methylation signature associated with operational tolerance in renal transplant|solid organ transplantation defined stable graft acceptance without immunosuppression while maintaining normal immunocompetence against immunological insults clear cellular molecular pathways driving|
GSE171800|other_methylation|Homo sapiens|12|GSE171800_m6Am_genes_with_decreased_peak_density.xlsx(198KB), GSE171800_peak_distribution.xls.gz(672KB), GSE171800_RAW.tar(243MB)|immunology,infectious_disease,rna_biology|HIV reprograms host m6Am RNA methylome by viral Vpr protein-mediated degradation of PCIF1|identify genes responsible inhibition m6Am-exo-seq control cells infected|
GSE181418|other_methylation|Homo sapiens|76|GSE181418_MZ_Blood_Leukocyte_Composition.txt.gz(1KB), GSE181418_Quantification_of_DZ_twin_using_MZ_twin_windows.csv.gz(26MB), GSE181418_Quantification_of_MZ_twins_-_no_covariates.csv.gz(46MB), GSE181418_Quantification_of_MZ_twins_-_with_5_blood_leucocyte_covariates_and_age.csv.gz(30MB), GSE181418_Quantification_of_MZ_twins_-_with_5_blood_leucocyte_covariates.csv.gz(30MB)|cardiovascular,epigenetics,hematopoiesis,cell_stress|Whole‐Genome Differentially Hydroxymethylated DNA Regions among Twins Discordant for Cardiovascular Death|assessed hydroxymethylation prospectively risk independent germline age blood cell type composion|
GSE162580|rrbs|Mus musculus|16|GSE162580_RAW.tar(68MB)|development,reproduction,plant_biology,cell_stress,gene_regulation,signal_transduction|The ETS Transcription Factor ERF Controls the Exit from the Embryonic Rosette-stage of Pluripotency [RRBS]|naïve epiblast undergoes transition pluripotent primed state implantation Interestingly distinct intermediate naïve-to-primed recently described propose transcriptional repressor MAPK-dependent|
GSE159474|other_methylation|Homo sapiens|72|GSE159474_RAW.tar(3.8GB)|immunology,epigenetics,lung_respiratory|DNA methylation profiling of circulatory monocytes in community-acquired pneumonia|sought broaden understanding captured acute hospital admission recovery one-month follow-up stages patients diagnosed CAP|
GSE169595|methylation_array|Homo sapiens|2|GSE169595_RAW.tar(186MB), GSE169595_signal_intensities.txt.gz(15MB)|epigenetics,signal_transduction|DNA Methylation Profiling in Mummified Human Remains from the Eighteenth-Century|Reconstruction ancient epigenomes DNAm shed light composition cell types disease states age death hampered impaired quality little decomposition affects determined EPIC Illumina BeadChip technology|
GSE164149|methylation_array|Homo sapiens|16|GSE164149_betas.txt.gz(106MB), GSE164149_RAW.tar(390MB), GSE164149_signal_intensities.csv.gz(87MB)|immunology,epigenetics,crispr_gene_editing,gene_regulation|Genome-wide DNA methylation profile of expanded human CRISPR/HDR-mediated FOXP3-KO naive Tregs, Cas9 naive Tregs, and conventional T cells|therapy promising curative approach variety immune-mediated conditions CRISPR-based editing allows precise insertion transgenes homology-directed repair use limited report optimized protocol|
GSE174562|other_methylation|Homo sapiens|5|GSE174562_RAW.tar(21MB)|epigenetics,reproduction|Amplicon-seq of SVA methylation in human sperm|DNA repressive histone modifications PIWI-interacting RNA essential controlling retroelement silencing mammalian germ line Dysregulation male sterility extensively studied mouse cells little progress|
GSE159898|methylation_array|Homo sapiens|44|GSE159898_methylated_and_unmethylated_signal.txt.gz(183MB), GSE159898_RAW.tar(161MB)|cancer,development,epigenetics,drug_response|Identification of genomic methylation markers for colorectal cancer diagnosis and toxicity of capecitabine-based chemotherapy|Background CRC major concern high morbidity mortality worldwide DNA alteration plays pivotal development aimed screen novel biomarkers chemotherapy-related adverse event CRAE prediction advanced|
GSE155491|rrbs|Homo sapiens|4|GSE155491_RAW.tar(271MB)|cancer,epigenetics,cell_stress|SPOP mutations derived from prostate cancer establish a DNA hypermethylation epigenome through stabilizing GLP histone methyltransferase|Abnormal major factors driving oncogenesis therapy resistance CULLIN3-RBX1 ubiquitin ligase adaptor gene most frequently mutated primary cancers PCa SPOP-mutated tumors strikingly associate strongly|
