# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE84474|cut_and_run|Homo sapiens; Saccharomyces cerevisiae|126|GSE84474_Cut-and-Run_extract_protocol.rtf.gz(9KB), GSE84474_Cut_and_Run_human.rtf.gz(9KB), GSE84474_Cut_and_Run_human_size_selection.rtf.gz(9KB), GSE84474_Cut-and-Run_PEG_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_spike-in_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_total_DNA_protocol.rtf.gz(2KB), GSE84474_Native_ChIP.rtf.gz(9KB), GSE84474_RAW.tar(9.7GB)|epigenetics,microbiology,cell_stress,gene_regulation|Cut-and-Run in situ factor profiling maps DNA binding and 3D contact sites at high resolution|Unlike Chromatin Immunoprecipitation ChIP fragments solubilizes total allowing high-resolution mapping probing local environment applied yeast human nuclei yielded precise transcription profiles|
GSE250519|cut_and_run|Homo sapiens; Mus musculus|12|GSE250519_GATA6_peaks.bed.gz(89KB), GSE250519_mSpdef_peaks.bed.gz(49KB), GSE250519_RAW.tar(1.0GB), GSE250519_SPDEF_peaks.bed.gz(24KB)|cancer|A mucus production programme promotes classical pancreatic ductal adenocarcinoma|CUT RUN IgG H3K4me3 HA-SPDEF human PDA HPAF-II cells murine KPC FC1245 assay profile direct binding SPDEF target genes|
GSE222608|cut_and_run|Mus musculus|4|GSE222608_Peaks_SATB2.bed.gz(129KB)|cancer,neuroscience,epigenetics,gene_regulation,signal_transduction|SATB2 organizes the 3D genome architecture of cognition in cortical neurons [CUT&RUN]|DNA-binding protein genetically linked human intelligence studied influence epigenome mapping chromatin interactions accessibility control versus SATB2-deficient affects looping enhancers promoters|
GSE239656|cut_and_tag|Homo sapiens|6|GSE239656_RAW.tar(599MB)|cancer,metabolism,epigenetics,gene_regulation,signal_transduction|HBO1 catalyzes lysine lactylation and mediates histone H3K9la to regulate gene transcription|Kla links metabolism regulation plays key multiple biological processes regulatory functional consequence explored report lactyltransferase Interestingly CUT Tag assays required TSSs regulated|
GSE236899|cut_and_run|Homo sapiens|23|GSE236899_RAW.tar(1.5GB)|drug_response,cell_stress,rna_biology,gene_regulation,signal_transduction|Nucleolar detention of NONO shields DNA double-strand breaks from aberrant transcripts [CUT&RUN]|RNA-binding proteins emerge effectors damage response DDR multifunctional non-POU domain-containing octamer-binding protein NONO/p54nrb marks nuclear paraspeckles unperturbed cells undergoes|
GSE253062|cut_and_tag|Mus musculus|24|GSE253062_DEK-KO_DEK.compareInput.rpm.bw(164MB), GSE253062_DEK-KO_H3K27ac.compareInput.rpm.bw(228MB), GSE253062_DEK-KO_H3K27me3.compareInput.rpm.bw(194MB), GSE253062_DEK-KO_H3K9ac.compareInput.rpm.bw(211MB), GSE253062_DEK-KO_H3K9me3.compareInput.rpm.bw(154MB), GSE253062_Parental_DEK.compareInput.rpm.bw(188MB), GSE253062_Parental_H3K27ac.compareInput.rpm.bw(215MB), GSE253062_Parental_H3K27me3.compareInput.rpm.bw(182MB), GSE253062_Parental_H3K9ac.compareInput.rpm.bw(198MB), GSE253062_Parental_H3K9me3.compareInput.rpm.bw(157MB)|epigenetics,cell_stress|Structural basis of the DEK-nucleosome complex and its functional implications (CUT&Tag)|nuclear factor notably enriched within chromatin nevertheless precise binding elusive employ cryo-electron microscopy cryo-EM elucidate high-resolution structure Core Particle NCP identify specific|
GSE231598|cut_and_run|Mus musculus|40|GSE231598_RAW.tar(2.4GB)|neuroscience,development,aging,drug_response|A phenotypic screening platform for identifying chemical modulators of astrocyte reactivity [CUT&RUN]|Disease injury aging induce pathological reactive states contribute neurodegeneration Modulating astrocytes represents attractive therapeutic strategy describe development Leveraging HDAC3 inhibitors|
GSE215434|cut_and_run|Homo sapiens|118|GSE215434_DE_processed_data.tar.gz(5.7GB), GSE215434_FG_processed_data.tar.gz(5.1GB), GSE215434_hPSC_processed_data.tar.gz(6.0GB), GSE215434_PFG_processed_data.tar.gz(1.4GB)|cancer,development,epigenetics,gene_regulation|Pioneer transcription factors coordinate active and repressive gene expression states to regulate cell fate [CUT&Run and ChIP-seq]|TFs establishing transcriptionally primed control requires coordination lineage-specific activation repression alternative lineage programs process poorly understood Forkhead box FOXA required|
GSE248961|cut_and_tag|Mus musculus|18|GSE248961_RAW.tar(613MB)|immunology,epigenetics,lung_respiratory,microbiology|Targeting BRD4 Ameliorates Experimental Emphysema Via Suppressing both M1 and M2 alveolar macrophage polarization-3 [CUT&TAG]|inhibition suppressed Particularly deeply molecular epigenetically regulate genes expression finished H3K27ac IRF4 antibody binding sites change treated ARV825|
GSE248851|cut_and_run|Homo sapiens|6|GSE248851_RAW.tar(881MB)|metabolism|RFX6 maintains gene expression and function of adult human islet ⍺ cells [CUT&RUN]|genome-binding profiling high-throughput sequencing|
GSE247955|cut_and_run|Rattus norvegicus|7|GSE247955_RAW.tar(731MB)|neuroscience,development,kidney,signal_transduction|Schwann cell regulation by NR2F2 using Cut&Run|focused NR2F1 CoupTF1/CoupTF2 since expressed neural crest maturity knockdown nuclear receptors primary cells downregulated genes Myelin Basic Protein Mbp Desert Hedgehog Dhh N-Myc Downstream|
GSE243703|cut_and_run|Mus musculus|10|GSE243703_RAW.tar(1.7GB)|cancer,immunology,epigenetics,cell_stress,gene_regulation|PAF1c links S-phase progression to immune evasion and MYC function in pancreatic carcinoma [ChIP-seq/CUT&RUN]|ductal adenocarcinoma PDAC endogenous required escape surveillance cells needed recruitment transcription elongation complex RNA polymerase depletion CTR9 subunit enables long-term survival|
GSE239690|cut_and_tag|Homo sapiens|9|GSE239690_RAW.tar(167MB)||G-quadruplex on Chromosomal DNA Negatively Regulates Topoisomerase 1 Activity [CUT&Tag]|Human Top1 crucial enzyme responsible alleviating torsional stress transcription replication thereby maintaining genome stability Previous researches non-working interacted extensively cells reason|
GSE193926|cut_and_tag|Mus musculus|10|GSE193926_RAW.tar(944MB)|immunology,development|Insm1 regulates the expression of thymic tissue-restricted antigens and the immune tolerance [CUT&Tag]|encoding zinc finger protein expressed specifically neuroendocrine cells Recent first evidence medullary epithelial mTEC Mutation resulted decreased proportion mTEChi normal development other types|
GSE235960|cut_and_run|Homo sapiens|64|GSE235960_RAW.tar(5.1GB)|cancer,metabolism,gene_regulation,signal_transduction,liver|A non-canonical repressor function of JUN restrains YAP activity and suppresses YAP-dependent liver cancer growth [CUT&RUN]|transcriptional coactivators YAP/TAZ critical downstream regulators Hippo pathway regulate gene expression response changes mainly binding TEAD transcription factors Uncontrolled output lead rapid|
GSE270760|cut_and_tag|Homo sapiens|24|GSE270760_RAW.tar(2.1GB)|cancer,infectious_disease,hematopoiesis,drug_response,cell_stress,signal_transduction|PRC2-mediated apoptosis evasion is a therapeutic target of MDS/AML harboring inv(3)/t(3;3) and monosomy 7 (CUT&Tag)|Myelodysplastic syndromes acute myeloid leukemia highly aggressive cancers whose molecular pathogenesis vulnerability elusive High throughput drug screens Tag/RNA sequence functional assays human|
GSE270947|cut_and_run|Mus musculus|8|GSE270947_BEL_RXR_pool_dedup_RPGCnorm10bin_sub120.bedgraph.gz(477MB), GSE270947_BEL_RXR_pool_dedup_RPGCnorm10bin_sub120.bw(395MB), GSE270947_corpse_RXR_pool_dedup_RPGCnorm10bin_sub120.bedgraph.gz(494MB), GSE270947_corpse_RXR_pool_dedup_RPGCnorm10bin_sub120.bw(415MB), GSE270947_mlcl_RXR_pool_dedup_RPGCnorm10bin_sub120.bedgraph.gz(582MB), GSE270947_mlcl_RXR_pool_dedup_RPGCnorm10bin_sub120.bw(480MB), GSE270947_un_RXR_pool_dedup_RPGCnorm10bin_sub120.bedgraph.gz(626MB), GSE270947_un_RXR_pool_dedup_RPGCnorm10bin_sub120.bw(522MB)|immunology,neuroscience,development,microbiology,cell_stress|Stem cells tightly regulate dead cell clearance to maintain tissue fitness [CUT&Run]|Macrophages dendritic long appreciated ability migrate engulf dying debris billions naturally eliminated body daily substantial amount cleared local so-called non-professional phagocytes critical|
GSE243999|cut_and_run|Mus musculus|23|GSE243999_KI-KI_DMSO.bigWig(276MB), GSE243999_KI-KI_DMSO_peaks.narrowPeak.gz(255KB), GSE243999_KI-KI_Nutlin.bigWig(182MB), GSE243999_KI-KI_Nutlin_peaks.narrowPeak.gz(278KB), GSE243999_KI-WT_DMSO.bigWig(123MB), GSE243999_KI-WT_DMSO_peaks.narrowPeak.gz(51KB), GSE243999_KI-WT_Nutlin.bigWig(166MB), GSE243999_KI-WT_Nutlin_peaks.narrowPeak.gz(109KB), GSE243999_WT-WT_DMSO.bigWig(121MB), GSE243999_WT-WT_DMSO_peaks.narrowPeak.gz(8KB), GSE243999_WT-WT_Nutlin.bigWig(133MB), GSE243999_WT-WT_Nutlin_peaks.narrowPeak.gz(8KB)|development,aging,crispr_gene_editing,plant_biology,cell_stress,cell_cycle|Mouse models to investigate in situ cell fate decisions induced by TP53 and other factors (CUT&RUN)|developed triple-FLAG TRP53 knock-in mice pull-down two response reporter knocking tdTomato GFP Puma/Bbc3 p21 gene loci crossing onto TRP53-deficient background reporters reliably inform|
GSE270104|cut_and_tag|Plasmodium falciparum|53|GSE270104_3D7-BDP5-FKBP_24to32hpi_aBiotin_plusBiotin_noRAPA_2rep.avg.bedgraph.gz(23MB), GSE270104_3D7-BDP5-FKBP_32to40hpi_aBiotin_plusBiotin_noRAPA_2rep.avg.bedgraph.gz(21MB), GSE270104_log2_BDP5-over-miniturbo_32to40hpi_aBiotin_plusBiotin_RAPA_2reps.avg.bedgraph.gz(407KB), GSE270104_log2ratio.NF54HP1-ChIP.to.Input.bedgraph.gz(401KB), GSE270104_log2ratio_NF54_HP1to.IgG_500bp.bins.bedgraph.gz(396KB), GSE270104_miniTurbo_24to32hpi_aBiotin_noBiotin_noRAPA_2rep.avg.bedgraph.gz(6MB), GSE270104_miniTurbo_24to32hpi_aBiotin_plusBiotin_noRAPA_2rep.avg.bedgraph.gz(62MB), GSE270104_miniTurbo_24to32hpi_aBiotin_plusBiotin_RAPA_2rep.avg.bedgraph.gz(69MB), GSE270104_miniTurbo_32to40hpi_aBiotin_plusBiotin_noRAPA_2rep.avg.bedgraph.gz(74MB), GSE270104_miniTurbo_32to40hpi_aBiotin_plusBiotin_plusRAPA_2rep.avg.bedgraph.gz(51MB), GSE270104_NF54-H3K9me3_CT_log2ratio_2000bpbins.bedgraph.gz(97KB), GSE270104_RAW.tar(594MB)|epigenetics|CUT&Tag and BioCUT&Tag enables investigation of the AT-rich epigenome of Plasmodium falciparum from low input samples|aimed adapt efficient sensitive alternative classical ChIP-sequencing compare H3K9me3 HP1 ChIP-seq datasets showing successful establishment Next scale down required material reactions generated|
GSE260670|cut_and_tag|Homo sapiens|4|GSE260670_PXGL_ctrl.peak.annotation.xls.gz(1MB), GSE260670_PXGL_shOGA.peak.annotation.xls.gz(231KB)|development|O-GlcNAcase Regulates Pluripotency States of Human Embryonic Stem Cells [CUT&Tag]|order occupancy OGA throughout genome|
GSE268674|cut_and_run|Drosophila melanogaster|8|GSE268674_RAW.tar(518MB)|development,fibrosis_wound,skin,cell_stress,gene_regulation|The pioneer transcription factor Zelda facilitates the exit from regeneration and restoration of patterning in Drosophila|damaged tissue regenerate injured site must repair wound proliferate restore correct cell types largely embryonic zygotic genome activation dispensable normal wing development crucial disc Impairing|
GSE254590|cut_and_run|Mus musculus|10|GSE254590_CnR_DE_MERGE.bw(131MB), GSE254590_CnR_EpiSCs_MERGE.bw(182MB), GSE254590_DE_CnR_Peaks_merge50bp.bed.gz(337KB), GSE254590_EpiSCs_CnR_Peaks_merge50bp.bed.gz(52KB), GSE254590_OTX2_DE_HApeaks.txt.gz(446KB), GSE254590_OTX2_Epi_HApeaks.txt.gz(78KB), GSE254590_OTX2_Epi_IgGpeaks_Rep1.txt.gz(2KB), GSE254590_OTX2_Epi_IgGpeaks_Rep2.txt.gz(1KB), GSE254590_OTX2_Epi_IgGpeaks_Rep3.txt.gz(2KB), GSE254590_wt_de1_noTrt_aHA_rep1_mm10_trim_q5_dupsRem_20to120_peaks.narrowPeak.gz(623B), GSE254590_wt_de1_noTrt_aHA_rep1_mm10_trim_q5_dupsRem_20to120_rpgcNorm.bw(121MB), GSE254590_wt_de1_noTrt_aIgG_rep1_mm10_trim_q5_dupsRem_20to120_rpgcNorm.bw(96MB)|development,gene_regulation|Transcriptional remodeling by OTX2 directs specification and patterning of mammalian definitive endoderm [CUT&RUN]|discovered factor formation mouse map OTX2-bound genomic regions identify OTX2-regulated genes directed differentiation EpiSCs|
GSE270196|cut_and_run|Mus musculus|8|GSE270196_CTL_IGG_avg.bw(136MB), GSE270196_CTL_MH2A1_avg.bw(147MB), GSE270196_KO_IGG_avg.bw(134MB), GSE270196_KO_MH2A1_avg.bw(133MB), GSE270196_RAW.tar(768MB), GSE270196_repic2_MH2A1_domains.bed.gz(29KB)|cancer,immunology,epigenetics,crispr_gene_editing,gene_regulation,cell_cycle|Epigenetic regulation of cell state by H2AFY governs immunogenicity in high-risk neuroblastoma [CUT&RUN]|Childhood MYCN-amplification classified often relapses intensive treatment regimen Immune checkpoint blockade therapy shows limited efficacy patients cancer intrinsic regulatory network poorly|
GSE267201|cut_and_tag|Mus musculus|10|GSE267201_H3K4me3_DP_consensus.bed.gz(74KB), GSE267201_H3K4me3_Oct4_consensus.bed.gz(72KB), GSE267201_H3K4me3_Pdgfra_consensus.bed.gz(71KB), GSE267201_RAW.tar(36MB)|development,fibrosis_wound,reproduction,plant_biology|The primitive endoderm supports lineage plasticity to enable regulative development [CUT&Tag H3K4me3]|Mammalian blastocyst formation involves specification trophectoderm followed differentiation inner cell mass embryonic epiblast extra-embryonic PrE time embryo maintains window redirect cellular fate|
GSE232925|cut_and_tag|Mus musculus|39|GSE232925_RAW.tar(369MB)|development,fibrosis_wound,reproduction,plant_biology|The primitive endoderm supports lineage plasticity to enable regulative development [CUT&Tag]|Mammalian blastocyst formation involves sequential specification trophectoderm differentiation inner cell mass either epiblast time embryo maintains window redirect cellular fate challenged|
GSE246065|cut_and_tag|Homo sapiens|9|GSE246065_RAW.tar(1.8GB)|cancer,epigenetics,gene_regulation|Occupancy profiling of IRF2BP2, MYCN, AP-1 and SOX11 by CUT&Tag from Neuroblastoma cells|master transcription factors TFs directly occupying other super-enhancers SEs Additionally cooperatively co-occupy components promotes expression survival enrichment family binding sites present|
GSE221611|cut_and_run|Homo sapiens|9|GSE221611_RAW.tar(879MB)|cancer,epigenetics,signal_transduction|Cut&Run SU-DIPG13 cells treated Sulfopin/Vorinostat/Sulfopin+Vorinostat or DMSO|Diffuse midline gliomas DMG aggressive pediatric tumors central nervous system highly resistant treatments inevitably fatal Lysine methionine substitution residue histone H3-K27M driver mutation DMGs|
GSE236718|cut_and_tag|Mus musculus|6|GSE236718_RAW.tar(617MB)|cancer,epigenetics,lung_respiratory,gene_regulation,cell_cycle|Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [CUT&Tag]|TDG versatile protein mismatch repair demethylation transcriptional regulation identify effector tumours deletion inhibits cell proliferation specifically cells genetically engineered mouse model|
GSE270035|cut_and_tag|Homo sapiens|2|GSE270035_RAW.tar(20KB)|immunology,epigenetics,crispr_gene_editing|DNA 5-methylcytosine regulates genome-wide formation of G-quadruplex structures [CUT&Tag]|G4s genomes multiple organisms proven play important epigenetic regulatory various cellular largely unknown negative correlation 5mC methylation abundance genomic increased whole-genome level reduced|
GSE253630|cut_and_run|Homo sapiens|18|GSE253630_C_H3K27me3_raw.bw(168MB), GSE253630_C_H3K4me3_raw.bw(193MB), GSE253630_C_IgG_raw.bw(168MB), GSE253630_M_H3K27me3_raw.bw(183MB), GSE253630_M_H3K4me3_raw.bw(179MB), GSE253630_M_IgG_raw.bw(181MB), GSE253630_P_H3K27me3_raw.bw(190MB), GSE253630_P_H3K4me3_raw.bw(145MB), GSE253630_P_IgG_raw.bw(159MB)|neuroscience,epigenetics,kidney,cell_stress|Chromatin conformation and histone modification profiling across human kidney anatomic regions [CUT&RUN]|leveraged recently described high-yield nuclei extraction method Hi-C Cleavage Under Targets Release Nuclease sequencing modifications H3K4me3 H3K27me3 parallel cortex medulla papilla samples|
GSE260818|cut_and_tag|Arabidopsis thaliana|24|GSE260818_h3_CmxL_mx_COL_RPGC_bs50.bw.gz(8MB), GSE260818_h3_CmxL_mx_LER_RPGC_bs50.bw.gz(5MB), GSE260818_h3_CxL_mx_COL_RPGC_bs50.bw.gz(9MB), GSE260818_h3_CxL_mx_LER_RPGC_bs50.bw.gz(7MB), GSE260818_h3_LxCm_mx_COL_RPGC_bs50.bw.gz(6MB), GSE260818_h3_LxCm_mx_LER_RPGC_bs50.bw.gz(7MB), GSE260818_h3_LxC_mx_COL_RPGC_bs50.bw.gz(7MB), GSE260818_h3_LxC_mx_LER_RPGC_bs50.bw.gz(8MB), GSE260818_k27_CmxL_mx_COL_RPGC_bs50.bw.gz(8MB), GSE260818_k27_CmxL_mx_LER_RPGC_bs50.bw.gz(4MB), GSE260818_k27_CxL_mx_COL_RPGC_bs50.bw.gz(9MB), GSE260818_k27_CxL_mx_LER_RPGC_bs50.bw.gz(5MB), GSE260818_k27_LxCm_mx_COL_RPGC_bs50.bw.gz(5MB), GSE260818_k27_LxCm_mx_LER_RPGC_bs50.bw.gz(8MB), GSE260818_k27_LxC_mx_COL_RPGC_bs50.bw.gz(5MB), GSE260818_k27_LxC_mx_LER_RPGC_bs50.bw.gz(8MB), GSE260818_k9_CmxL_mx_COL_RPGC_bs50.bw.gz(7MB), GSE260818_k9_CmxL_mx_LER_RPGC_bs50.bw.gz(4MB), GSE260818_k9_CxL_mx_COL_RPGC_bs50.bw.gz(6MB), GSE260818_k9_CxL_mx_LER_RPGC_bs50.bw.gz(3MB), GSE260818_k9_LxCm_mx_COL_RPGC_bs50.bw.gz(3MB), GSE260818_k9_LxCm_mx_LER_RPGC_bs50.bw.gz(5MB), GSE260818_k9_LxC_mx_COL_RPGC_bs50.bw.gz(4MB), GSE260818_k9_LxC_mx_LER_RPGC_bs50.bw.gz(6MB)|development,epigenetics,fibrosis_wound,reproduction,plant_biology|Epigenetic and transcriptional consequences of chemically induced transposon mobilization in the endosperm (CUT&Tag)|Genomic imprinting phenomenon leading parent-of-origin-specific expression independently evolved flowering plants placenta mammals tissues crucial nurturing embryos While transposable elements TEs|
GSE267109|cut_and_tag|Homo sapiens|5|GSE267109_RAW.tar(546MB)|cancer,metabolism,epigenetics|DPF2 reads histone lactylation to drive transcription and tumorigenesis [CUT&TAG]|Lysine Kla new type mark implicated regulation various functional processes acts cancers unexplored due part lack knowledge reader proteins observe cervical cancer cells undergo metabolic reprogram|
GSE269349|cut_and_run|Homo sapiens|4|GSE269349_RAW.tar(310MB)|cancer,immunology,epigenetics,crispr_gene_editing,drug_response|PHF6 cooperates with SWI/SNF complexes to facilitate transcriptional progression[CUT&RUN]|Genes encoding subunits chromatin remodeling mutated nearly cancers subunit SMARCB1 driving mutation cases rhabdoid tumor highly malignant childhood While loss drives cancer absence creates unique|
GSE268820|cut_and_run|Drosophila melanogaster|8|GSE268820_GFP-L3mbt_spikeNorm_GFP_allReps_avg.bw(6MB), GSE268820_GFP-L3mbt.vs.OregonR.peaks.bed.gz(31KB), GSE268820_HWT_His4rnull_GFP-L3mbt_spikeNorm_GFP_allReps_avg.bw(3MB), GSE268820_K20R_His4rnull_GFP-L3mbt_spikeNorm_GFP_allReps_avg.bw(32MB), GSE268820_OregonR_spikeNorm_GFP_allReps_avg.bw(16MB), GSE268820_RAW.tar(44MB)|development,epigenetics,cell_stress,signal_transduction|Drosophila melanogaster Set8 and L(3)mbt function in gene expression independently of histone H4 lysine 20 methylation [GFP-L3mbt_CUT&RUN]|Mono-methylation H4K20me1 catalyzed thought play important many aspects genome mediated H4K20me-binding proteins interrogated model developing animal comparing parallel transcriptomes Set8null|
GSE268819|cut_and_run|Drosophila melanogaster|27|GSE268819_H4K20me1.vs.no_primary.peaks.bed.gz(57KB), GSE268819_HWT_His4rnull_spikeNorm_K20me1_allReps_avg.bw(145MB), GSE268819_HWT_His4rnull_spikeNorm_K20me1_rep1.bw(47MB), GSE268819_HWT_His4rnull_spikeNorm_K20me1_rep2.bw(29MB), GSE268819_HWT_His4rnull_spikeNorm_K20me1_rep3.bw(41MB), GSE268819_HWT_spikeNorm_K20me1_allReps_avg.bw(81MB), GSE268819_HWT_spikeNorm_K20me1_rep1.bw(35MB), GSE268819_HWT_spikeNorm_K20me1_rep2.bw(27MB), GSE268819_K20A_spikeNorm_K20me1_allReps_avg.bw(71MB), GSE268819_K20A_spikeNorm_K20me1_rep1.bw(21MB), GSE268819_K20A_spikeNorm_K20me1_rep2.bw(35MB), GSE268819_K20R_His4rnull_spikeNorm_K20me1_allReps_avg.bw(17MB), GSE268819_K20R_His4rnull_spikeNorm_K20me1_rep1.bw(8MB), GSE268819_K20R_His4rnull_spikeNorm_K20me1_rep2.bw(5MB), GSE268819_K20R_spikeNorm_K20me1_allReps_avg.bw(81MB), GSE268819_K20R_spikeNorm_K20me1_rep1.bw(31MB), GSE268819_K20R_spikeNorm_K20me1_rep2.bw(22MB), GSE268819_K20R_spikeNorm_K20me1_rep3.bw(12MB), GSE268819_OregonR_spikeNorm_K20me1_allReps_avg.bw(114MB), GSE268819_OregonR_spikeNorm_K20me1_rep1.bw(28MB), GSE268819_OregonR_spikeNorm_K20me1_rep2.bw(25MB), GSE268819_OregonR_spikeNorm_K20me1_rep3.bw(32MB), GSE268819_OregonR_spikeNorm_no_primary_rep1.bw(2MB), GSE268819_OregonR_spikeNorm_no_primary_rep2.bw(1MB), GSE268819_OregonR_spikeNorm_no_primary_rep3.bw(7MB), GSE268819_Set8null_spikeNorm_K20me1_allReps_avg.bw(105MB), GSE268819_Set8null_spikeNorm_K20me1_rep1.bw(24MB), GSE268819_Set8null_spikeNorm_K20me1_rep2.bw(26MB), GSE268819_Set8null_spikeNorm_K20me1_rep3.bw(27MB), GSE268819_Set8rg_spikeNorm_K20me1_allReps_avg.bw(113MB), GSE268819_Set8rg_spikeNorm_K20me1_rep1.bw(35MB), GSE268819_Set8rg_spikeNorm_K20me1_rep2.bw(26MB), GSE268819_Set8rg_spikeNorm_K20me1_rep3.bw(25MB), GSE268819_Set8wt_spikeNorm_K20me1_allReps_avg.bw(108MB), GSE268819_Set8wt_spikeNorm_K20me1_rep1.bw(32MB), GSE268819_Set8wt_spikeNorm_K20me1_rep2.bw(30MB), GSE268819_Set8wt_spikeNorm_K20me1_rep3.bw(21MB)|development,epigenetics,cell_stress,signal_transduction|Drosophila melanogaster Set8 and L(3)mbt function in gene expression independently of histone H4 lysine 20 methylation [H4K20me1_CUT&RUN]|Mono-methylation catalyzed thought play important many aspects genome mediated H4K20me-binding proteins interrogated model developing animal comparing parallel transcriptomes Set8null H4K20R/A mutant|
GSE250297|cut_and_run|Mus musculus|5|GSE250297_RAW.tar(390MB)|cancer,lung_respiratory,cell_stress,rna_biology,signal_transduction|Nono stimulates the DNA damage response by mediating the induction of Gadd45b [CUT&Run]|RNA-binding proteins RBPs frequently deregulated cancer emerge effectors DDR non-POU domain-containing octamer-binding protein NONO/p54nrb multi-functional RBP modulates production processing mRNA|
GSE228071|cut_and_tag|Homo sapiens|6|GSE228071_RAW.tar(4.0GB)|epigenetics,liver|Exploring the epigenetic regulatory role of KDM1A inhibition in HCC cells [HepG2_SP2509_CUTTag_seq]|conducted Tag-seq experiments investigate impact histone modifications|
GSE267369|cut_and_run|Homo sapiens|14|GSE267369_RAW.tar(3.0GB)|cancer,immunology,epigenetics,cell_stress,cell_cycle,signal_transduction|Elevating PLK1 Overcomes BETi-Resistance in Prostate Cancer via Triggering BRD4 Phosphorylation-dependent Degradation in Mitosis [ChIP-seq]|investigate effect phosphorylated S24 S1100 transcription established C4-2 stable expressing S24/1100A S24/1100D cell lines endogenous knocked down shRNA targeted UTR CUT RUN assay anti-BRD4|
GSE264339|cut_and_tag|Bos taurus|4|GSE264339_RAW.tar(301MB)|development,epigenetics,reproduction,plant_biology|Epigenetic Basis for the Establishment of Ruminal Tissue-Specific Functions (CUT&Tag-seq)|While DNA methylation other tissues approximated model species dynamic distribution regulatory significance rumen unique organ ruminant largely unknown employed whole-genome bisulfite sequencing WGBS|
GSE255136|cut_and_tag|Mus musculus|6|GSE255136_RAW.tar(454MB)|immunology,neuroscience,development,gene_regulation,cell_cycle,signal_transduction|Genome-wide map of TRIM33, CDK9 and S2 Pol II binding sites in common dendritic cell progenitors|Transcriptional control development fully understood transcription co-factor crucial regulation DCs CUT Tag co-localization Serine phosphorylated RNA polymerase CDPs|
GSE242113|cut_and_tag|Mus musculus|6|GSE242113_RAW.tar(333MB)|reproduction,microbiology|Genome-wide identification of transcriptional targets for H4K12la  during uterine stromal cells decidualization in mice|explore potential responsible Cleavage Under Tagmentation CUT Tag vitro model identify candidate genes regulated|
GSE255641|cut_and_tag|Homo sapiens|2|GSE255641_RAW.tar(1.6GB)|metabolism,epigenetics,liver|The regulation of histone modification by KDM1A in liver cells|CUT Tag-seq explore epigenetic regulatory healthy|
GSE255640|cut_and_tag|Homo sapiens|4|GSE255640_RAW.tar(307MB)|cancer,metabolism,liver|CUT&Tag-seq Assays in Healthy and Cancerous Liver Cells|KDM1A lines THLE2 THLE3 HCC HepG2 Huh7|
GSE255636|cut_and_tag|Homo sapiens|4|GSE255636_RAW.tar(2.3GB)|epigenetics,liver|The epigenetic regulatory role of KDM1A in HCC cells|CUT Tag-seq explore|
GSE255634|cut_and_tag|Homo sapiens|2|GSE255634_RAW.tar(1.8GB)|cancer,liver|CUT&Tag-seq Analysis of HCC-PDX Samples Treated with SP2509|Nude mice harboring subjected treatment either vehicle followed tumor assays|
GSE233840|cut_and_tag|Mus musculus|20|GSE233840_RAW.tar(13MB)|neuroscience,development,epigenetics|ISL1 and POU4F1 Directly Interact to Regulate the Differentiation and Survival of Inner Ear Sensory Neurons|unique set CVG gene cooperatively individually term shows genes crucial CVGs development estimate indirectly downstream affect CUT Tag histone modifications H3K4me3 H3K27ac H3K27me3 identity peaks|
GSE232757|cut_and_run|Mus musculus|14|GSE232757_RAW.tar(703MB)|cancer,gut_intestine,lung_respiratory,microbiology,cell_stress,signal_transduction|p53-R172H cooperates with Brd4 to induce Csf-1 expression and lung metastasis:  H3K27ac profile of mouse ESCC cells with Trp53R172/- or Trp53+/+|TP53 mutations frequent esophageal squamous carcinoma other SCCs proclivity report Colony-Stimulating Factor-1 upregulated p53-R175H mice mediated manner metastatic lesions p53-R172H-dependent|
GSE228255|cut_and_tag|Homo sapiens|3|GSE228255_RAW.tar(2.2GB)|epigenetics,liver|ZMYM3 is required for KDM1A-mediated histone de-methylation in HCC cells|investigate relationship conducted CUT Tag-seq experiments detect downregulation|
GSE228074|cut_and_tag|Homo sapiens|11|GSE228074_RAW.tar(8.7GB), GSE228074_update_seq_template.xlsx(129KB)|epigenetics,liver|The epigenetic regulatory role of KDM1A in HCC cells [HepG2_shKDM1A_CUTTag_seq]|Tag-seq explore|
GSE228069|cut_and_tag|Homo sapiens|3|GSE228069_RAW.tar(1.2GB)|liver|ZMYM3 is required for the role of KDM1A in HCC cells [97H_KDM1A_shZMYM3_CUTTag_seq]|investigate relationship conducted Tag-seq experiments detect DNA binding regions downregulation|
GSE205044|cut_and_run|Homo sapiens|58|GSE205044_RAW.tar(611MB)|cancer|SOX9 manipulation in human melanoma cell culture [CUT&RUN]|profiling compare SOX10 binding non-transfected A375 cells transfected SOX9-HA|
